,open_ts_time,open_tf_time,wind_ts_p,wind_tf_p,close_ts_time,close_tf_time,unwind_ts_p,unwind_tf_p,diff_ts,diff_tf,sum
87,2022-10-11 13:42:09,2022-10-11 13:42:09,101.16,-101.6,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,-0.009999999999990905,0.030000000000001137,0.020000000000010232
88,2022-10-11 13:43:06,2022-10-11 13:43:01,101.155,-101.595,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,-0.0049999999999954525,0.025000000000005684,0.020000000000010232
89,2022-10-11 13:46:00,2022-10-11 13:46:03,-101.16,101.59,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.015000000000000568,-0.015000000000000568,0.0
90,2022-10-11 13:47:00,2022-10-11 13:47:00,-101.16,101.59,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.015000000000000568,-0.015000000000000568,0.0
91,2022-10-11 13:48:06,2022-10-11 13:48:00,-101.155,101.58,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
92,2022-10-11 13:50:00,2022-10-11 13:50:00,-101.155,101.58,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
93,2022-10-11 13:51:09,2022-10-11 13:51:02,-101.155,101.58,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
94,2022-10-11 13:52:00,2022-10-11 13:52:12,-101.155,101.58,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
95,2022-10-11 13:54:03,2022-10-11 13:54:00,-101.16,101.585,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.015000000000000568,-0.009999999999990905,0.005000000000009663
96,2022-10-11 13:55:03,2022-10-11 13:55:03,-101.16,101.58,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
97,2022-10-11 13:56:00,2022-10-11 13:56:00,-101.155,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,0.005000000000009663,0.01500000000001478
98,2022-10-11 13:57:00,2022-10-11 13:57:00,-101.15,101.565,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.005000000000009663,0.010000000000005116,0.01500000000001478
99,2022-10-11 13:58:00,2022-10-11 13:58:00,-101.155,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,0.005000000000009663,0.01500000000001478
100,2022-10-11 13:59:01,2022-10-11 13:59:00,-101.155,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,0.005000000000009663,0.01500000000001478
101,2022-10-11 14:00:00,2022-10-11 14:00:00,-101.155,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,0.005000000000009663,0.01500000000001478
102,2022-10-11 14:01:00,2022-10-11 14:01:00,-101.16,101.58,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.015000000000000568,-0.0049999999999954525,0.010000000000005116
103,2022-10-11 14:02:03,2022-10-11 14:02:06,-101.155,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,0.005000000000009663,0.01500000000001478
104,2022-10-11 14:03:01,2022-10-11 14:03:09,-101.155,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.010000000000005116,0.005000000000009663,0.01500000000001478
105,2022-10-11 14:10:03,2022-10-11 14:10:01,-101.15,101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.005000000000009663,0.005000000000009663,0.010000000000019327
106,2022-10-11 14:14:05,2022-10-11 14:14:01,101.14,-101.565,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
107,2022-10-11 14:15:00,2022-10-11 14:15:00,101.14,-101.565,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
108,2022-10-11 14:19:00,2022-10-11 14:19:03,-101.145,101.56,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.0,0.015000000000000568,0.015000000000000568
109,2022-10-11 14:20:06,2022-10-11 14:20:00,-101.145,101.56,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.0,0.015000000000000568,0.015000000000000568
110,2022-10-11 14:23:00,2022-10-11 14:23:00,-101.14,101.555,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
111,2022-10-11 14:24:00,2022-10-11 14:24:06,-101.14,101.55,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,-0.0049999999999954525,0.025000000000005684,0.020000000000010232
112,2022-10-11 14:25:03,2022-10-11 14:25:05,-101.14,101.555,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
113,2022-10-11 14:26:05,2022-10-11 14:26:00,-101.14,101.555,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
114,2022-10-11 14:27:10,2022-10-11 14:27:05,-101.14,101.56,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
115,2022-10-11 14:30:00,2022-10-11 14:30:00,101.145,-101.575,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,0.005000000000009663,0.005000000000009663,0.010000000000019327
116,2022-10-11 14:31:06,2022-10-11 14:31:03,101.14,-101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,0.010000000000005116,0.0,0.010000000000005116
117,2022-10-11 14:32:00,2022-10-11 14:32:00,101.14,-101.57,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,0.010000000000005116,0.0,0.010000000000005116
118,2022-10-11 14:33:09,2022-10-11 14:33:05,101.14,-101.565,2022-10-11 14:42:02,2022-10-11 14:42:02,-101.15,101.57,0.010000000000005116,-0.0049999999999954525,0.005000000000009663
119,2022-10-11 14:39:01,2022-10-11 14:39:00,-101.145,101.56,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.0,0.015000000000000568,0.015000000000000568
120,2022-10-11 14:40:05,2022-10-11 14:40:00,-101.145,101.565,2022-10-11 14:42:02,2022-10-11 14:42:02,101.145,-101.575,0.0,0.010000000000005116,0.010000000000005116
121,2022-10-11 14:44:01,2022-10-11 14:44:00,101.145,-101.58,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.005000000000009663,-0.0024999999999977263,0.002500000000011937
122,2022-10-11 14:45:03,2022-10-11 14:45:06,101.145,-101.58,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.005000000000009663,-0.0024999999999977263,0.002500000000011937
123,2022-10-11 14:46:00,2022-10-11 14:46:01,101.145,-101.585,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.005000000000009663,0.0024999999999977263,0.00750000000000739
124,2022-10-11 14:47:01,2022-10-11 14:47:00,101.15,-101.59,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.0,0.00750000000000739,0.00750000000000739
125,2022-10-11 14:48:00,2022-10-11 14:48:00,101.145,-101.585,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.005000000000009663,0.0024999999999977263,0.00750000000000739
126,2022-10-11 14:49:00,2022-10-11 14:49:00,101.145,-101.59,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.005000000000009663,0.00750000000000739,0.012500000000017053
127,2022-10-11 14:50:00,2022-10-11 14:50:00,101.145,-101.59,2022-10-11 15:13:00,2022-10-11 15:13:00,-101.15,101.5825,0.005000000000009663,0.00750000000000739,0.012500000000017053
