,open_tf_time,open_t_time,wind_tf_p,wind_t_p,close_tf_time,close_t_time,unwind_tf_p,unwind_t_p,diff_tf,diff_t,sum
58,2022-10-10 11:29:00,2022-10-10 11:29:00,101.5875,-100.83,2022-10-10 13:03:03,2022-10-10 13:03:00,-101.59,100.815,0.0024999999999977263,0.015000000000000568,0.017499999999998295
59,2022-10-10 13:00:00,2022-10-10 13:00:00,101.58,-100.815,2022-10-10 13:03:03,2022-10-10 13:03:00,-101.59,100.815,0.010000000000005116,0.0,0.010000000000005116
60,2022-10-10 13:01:01,2022-10-10 13:01:01,101.58,-100.815,2022-10-10 13:03:03,2022-10-10 13:03:00,-101.59,100.815,0.010000000000005116,0.0,0.010000000000005116
61,2022-10-10 13:05:00,2022-10-10 13:05:00,-101.59,100.82,2022-10-10 13:21:01,2022-10-10 13:21:00,101.63,-100.875,-0.03999999999999204,0.05500000000000682,0.01500000000001478
62,2022-10-10 13:06:03,2022-10-10 13:06:01,-101.6,100.83,2022-10-10 13:21:01,2022-10-10 13:21:00,101.63,-100.875,-0.030000000000001137,0.045000000000001705,0.015000000000000568
63,2022-10-10 13:10:02,2022-10-10 13:10:00,101.6,-100.84,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.0350000000000108,-0.030000000000001137,0.005000000000009663
64,2022-10-10 13:11:02,2022-10-10 13:11:05,101.6,-100.84,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.0350000000000108,-0.030000000000001137,0.005000000000009663
65,2022-10-10 13:12:05,2022-10-10 13:12:01,101.605,-100.845,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.030000000000001137,-0.025000000000005684,0.0049999999999954525
66,2022-10-10 13:13:00,2022-10-10 13:13:02,101.605,-100.85,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.030000000000001137,-0.020000000000010232,0.009999999999990905
67,2022-10-10 13:15:00,2022-10-10 13:15:00,101.61,-100.855,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.025000000000005684,-0.015000000000000568,0.010000000000005116
68,2022-10-10 13:16:02,2022-10-10 13:16:00,101.615,-100.86,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.020000000000010232,-0.010000000000005116,0.010000000000005116
69,2022-10-10 13:17:01,2022-10-10 13:17:00,101.62,-100.865,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.015000000000000568,-0.005000000000009663,0.009999999999990905
70,2022-10-10 13:18:00,2022-10-10 13:18:00,101.625,-100.865,2022-10-10 13:21:01,2022-10-10 13:21:00,-101.635,100.87,0.010000000000005116,-0.005000000000009663,0.0049999999999954525
71,2022-10-10 13:23:01,2022-10-10 13:23:00,101.615,-100.86,2022-10-10 13:26:00,2022-10-10 13:26:00,-101.625,100.85,0.010000000000005116,0.010000000000005116,0.020000000000010232
72,2022-10-10 13:24:02,2022-10-10 13:24:01,101.615,-100.86,2022-10-10 13:26:00,2022-10-10 13:26:00,-101.625,100.85,0.010000000000005116,0.010000000000005116,0.020000000000010232
73,2022-10-10 13:28:00,2022-10-10 13:28:00,-101.6175,100.845,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,0.002500000000011937,0.010000000000005116,0.012500000000017053
74,2022-10-10 13:29:00,2022-10-10 13:29:00,-101.625,100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,0.010000000000005116,0.0,0.010000000000005116
75,2022-10-10 13:30:00,2022-10-10 13:30:00,-101.625,100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,0.010000000000005116,0.0,0.010000000000005116
76,2022-10-10 13:31:00,2022-10-10 13:31:00,-101.625,100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,0.010000000000005116,0.0,0.010000000000005116
77,2022-10-10 13:35:01,2022-10-10 13:35:00,101.625,-100.865,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
78,2022-10-10 13:36:00,2022-10-10 13:36:00,101.62,-100.865,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.0,0.015000000000000568,0.015000000000000568
79,2022-10-10 13:37:02,2022-10-10 13:37:00,101.625,-100.87,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
80,2022-10-10 13:38:04,2022-10-10 13:38:00,101.625,-100.87,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
81,2022-10-10 13:39:00,2022-10-10 13:39:00,101.61,-100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.010000000000005116,0.005000000000009663,0.01500000000001478
82,2022-10-10 13:40:01,2022-10-10 13:40:00,101.6125,-100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.00750000000000739,0.005000000000009663,0.012500000000017053
83,2022-10-10 13:41:02,2022-10-10 13:41:01,101.615,-100.86,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.005000000000009663,0.010000000000005116,0.01500000000001478
84,2022-10-10 13:42:00,2022-10-10 13:42:00,101.615,-100.86,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.005000000000009663,0.010000000000005116,0.01500000000001478
85,2022-10-10 13:43:02,2022-10-10 13:43:00,101.61,-100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.010000000000005116,0.005000000000009663,0.01500000000001478
86,2022-10-10 13:47:04,2022-10-10 13:47:00,-101.61,100.835,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
87,2022-10-10 13:48:04,2022-10-10 13:48:01,-101.61,100.835,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
88,2022-10-10 13:49:08,2022-10-10 13:49:00,-101.61,100.835,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,-0.0049999999999954525,0.020000000000010232,0.01500000000001478
89,2022-10-10 13:50:03,2022-10-10 13:50:01,-101.61,100.84,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
90,2022-10-10 13:51:03,2022-10-10 13:51:05,-101.61,100.84,2022-10-10 14:01:00,2022-10-10 14:01:00,101.615,-100.855,-0.0049999999999954525,0.015000000000000568,0.010000000000005116
91,2022-10-10 13:55:00,2022-10-10 13:55:00,101.615,-100.86,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.005000000000009663,0.010000000000005116,0.01500000000001478
92,2022-10-10 13:56:01,2022-10-10 13:56:04,101.6125,-100.855,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.00750000000000739,0.005000000000009663,0.012500000000017053
93,2022-10-10 13:59:03,2022-10-10 13:59:02,101.62,-100.86,2022-10-10 14:01:00,2022-10-10 14:01:00,-101.62,100.85,0.0,0.010000000000005116,0.010000000000005116
94,2022-10-10 14:08:00,2022-10-10 14:08:01,101.595,-100.84,2022-10-10 14:24:04,2022-10-10 14:24:00,-101.595,100.825,0.0,0.015000000000000568,0.015000000000000568
95,2022-10-10 14:09:00,2022-10-10 14:09:00,101.6,-100.845,2022-10-10 14:24:04,2022-10-10 14:24:00,-101.595,100.825,-0.0049999999999954525,0.01999999999999602,0.015000000000000568
96,2022-10-10 14:10:00,2022-10-10 14:10:01,101.595,-100.845,2022-10-10 14:24:04,2022-10-10 14:24:00,-101.595,100.825,0.0,0.01999999999999602,0.01999999999999602
97,2022-10-10 14:14:01,2022-10-10 14:14:01,-101.59,100.82,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,0.0,0.010000000000005116,0.010000000000005116
98,2022-10-10 14:15:00,2022-10-10 14:15:00,-101.585,100.82,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,-0.005000000000009663,0.010000000000005116,0.0049999999999954525
99,2022-10-10 14:16:00,2022-10-10 14:16:01,-101.59,100.82,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,0.0,0.010000000000005116,0.010000000000005116
100,2022-10-10 14:17:00,2022-10-10 14:17:00,-101.58,100.81,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,-0.010000000000005116,0.01999999999999602,0.009999999999990905
101,2022-10-10 14:20:01,2022-10-10 14:20:00,-101.58,100.8,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,-0.010000000000005116,0.030000000000001137,0.01999999999999602
102,2022-10-10 14:21:00,2022-10-10 14:21:00,-101.585,100.815,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,-0.005000000000009663,0.015000000000000568,0.009999999999990905
103,2022-10-10 14:22:00,2022-10-10 14:22:00,-101.59,100.82,2022-10-10 14:24:04,2022-10-10 14:24:00,101.59,-100.83,0.0,0.010000000000005116,0.010000000000005116
