,time,last,ask,bid,volume,amt,ask1,bid1,asize1,bsize1,ts_date,ts_lag
6871,2022-10-14 11:17:26.100,101.225,101.23,101.225,30862,31233582900,,,96,32,2022-10-14 11:17:26.100,0
6872,2022-10-14 11:17:27.100,101.225,101.23,101.225,30892,31263950400,,,96,2,2022-10-14 11:17:27.100,1
6873,2022-10-14 11:17:27.600,101.225,101.23,101.225,30892,31263950400,,,99,11,2022-10-14 11:17:27.600,0
6874,2022-10-14 11:17:28.100,101.225,101.23,101.225,30892,31263950400,,,98,12,2022-10-14 11:17:28.100,0
6875,2022-10-14 11:17:28.600,101.225,101.23,101.225,30892,31263950400,,,99,12,2022-10-14 11:17:28.600,0
6876,2022-10-14 11:17:29.100,101.225,101.23,101.225,30892,31263950400,,,99,13,2022-10-14 11:17:29.100,0
6877,2022-10-14 11:17:30.100,101.225,101.23,101.225,30897,31269011650,,,99,8,2022-10-14 11:17:30.100,1
6878,2022-10-14 11:17:30.600,101.225,101.225,101.22,30906,31278121900,,,21,170,2022-10-14 11:17:30.600,0
6879,2022-10-14 11:17:31.100,101.225,101.225,101.22,30906,31278121900,,,27,89,2022-10-14 11:17:31.100,0
6880,2022-10-14 11:17:31.600,101.225,101.225,101.22,30909,31281158650,,,24,89,2022-10-14 11:17:31.600,0
6881,2022-10-14 11:17:32.100,101.225,101.225,101.22,30909,31281158650,,,31,79,2022-10-14 11:17:32.100,0
6882,2022-10-14 11:17:32.600,101.225,101.225,101.22,30909,31281158650,,,31,78,2022-10-14 11:17:32.600,0
6883,2022-10-14 11:17:37.100,101.225,101.225,101.22,30909,31281158650,,,33,60,2022-10-14 11:17:37.100,4
6884,2022-10-14 11:17:38.100,101.225,101.225,101.22,30909,31281158650,,,33,61,2022-10-14 11:17:38.100,1
6885,2022-10-14 11:17:39.100,101.225,101.225,101.22,30909,31281158650,,,33,62,2022-10-14 11:17:39.100,1
6886,2022-10-14 11:17:44.600,101.225,101.225,101.22,30910,31282170900,,,32,62,2022-10-14 11:17:44.600,5
6887,2022-10-14 11:17:49.600,101.22,101.225,101.22,30911,31283183100,,,32,61,2022-10-14 11:17:49.600,5
6888,2022-10-14 11:17:55.600,101.22,101.225,101.22,30911,31283183100,,,32,66,2022-10-14 11:17:55.600,6
6889,2022-10-14 11:17:57.600,101.22,101.225,101.22,30911,31283183100,,,33,66,2022-10-14 11:17:57.600,2
6890,2022-10-14 11:18:01.600,101.22,101.225,101.22,30911,31283183100,,,33,67,2022-10-14 11:18:01.600,4
6891,2022-10-14 11:18:02.100,101.22,101.225,101.22,30911,31283183100,,,35,67,2022-10-14 11:18:02.100,0
6892,2022-10-14 11:18:02.600,101.22,101.225,101.22,30911,31283183100,,,35,68,2022-10-14 11:18:02.600,0
6893,2022-10-14 11:18:03.600,101.22,101.225,101.22,30911,31283183100,,,34,68,2022-10-14 11:18:03.600,1
6894,2022-10-14 11:18:04.600,101.22,101.225,101.22,30911,31283183100,,,34,69,2022-10-14 11:18:04.600,1
6895,2022-10-14 11:18:09.600,101.22,101.225,101.22,30911,31283183100,,,34,68,2022-10-14 11:18:09.600,5
6896,2022-10-14 11:18:10.100,101.22,101.225,101.22,30913,31285207500,,,34,66,2022-10-14 11:18:10.100,0
6897,2022-10-14 11:18:11.600,101.22,101.225,101.22,30913,31285207500,,,34,67,2022-10-14 11:18:11.600,1
6898,2022-10-14 11:18:12.600,101.22,101.225,101.22,30913,31285207500,,,34,68,2022-10-14 11:18:12.600,1
6899,2022-10-14 11:18:16.100,101.22,101.225,101.22,30913,31285207500,,,34,69,2022-10-14 11:18:16.100,3
6900,2022-10-14 11:18:16.600,101.225,101.23,101.225,30947,31319624000,,,197,1,2022-10-14 11:18:16.600,0
6901,2022-10-14 11:18:17.100,101.225,101.23,101.225,30948,31320636250,,,119,14,2022-10-14 11:18:17.100,0
6902,2022-10-14 11:18:17.600,101.225,101.23,101.225,30948,31320636250,,,116,6,2022-10-14 11:18:17.600,0
6903,2022-10-14 11:18:18.100,101.225,101.23,101.225,30950,31322660750,,,117,2,2022-10-14 11:18:18.100,0
6904,2022-10-14 11:18:18.600,101.225,101.225,101.22,30954,31326709750,,,28,155,2022-10-14 11:18:18.600,0
6905,2022-10-14 11:18:19.100,101.225,101.225,101.22,30954,31326709750,,,32,65,2022-10-14 11:18:19.100,0
6906,2022-10-14 11:18:20.100,101.225,101.225,101.22,30954,31326709750,,,30,65,2022-10-14 11:18:20.100,1
6907,2022-10-14 11:18:20.600,101.225,101.225,101.22,30955,31327722000,,,30,64,2022-10-14 11:18:20.600,0
6908,2022-10-14 11:18:21.100,101.225,101.225,101.22,30955,31327722000,,,40,64,2022-10-14 11:18:21.100,0
6909,2022-10-14 11:18:22.100,101.225,101.225,101.22,30955,31327722000,,,50,64,2022-10-14 11:18:22.100,1
6910,2022-10-14 11:18:22.600,101.225,101.225,101.22,30955,31327722000,,,51,64,2022-10-14 11:18:22.600,0
6911,2022-10-14 11:18:23.100,101.225,101.225,101.22,30955,31327722000,,,51,65,2022-10-14 11:18:23.100,0
6912,2022-10-14 11:18:25.600,101.225,101.225,101.22,30956,31328734250,,,50,65,2022-10-14 11:18:25.600,2
6913,2022-10-14 11:18:26.600,101.225,101.225,101.22,30956,31328734250,,,50,79,2022-10-14 11:18:26.600,1
6914,2022-10-14 11:18:27.100,101.225,101.225,101.22,30956,31328734250,,,80,79,2022-10-14 11:18:27.100,0
6915,2022-10-14 11:18:27.600,101.225,101.225,101.22,30956,31328734250,,,83,77,2022-10-14 11:18:27.600,0
